"id","date","user","title","desc","url"
"209301291","2015-02-05T00:43:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv209301291?ref=community"
"209296791","2015-02-05T00:13:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv209296791?ref=community"
"209291780","2015-02-04T23:42:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv209291780?ref=community"
"209286273","2015-02-04T23:12:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv209286273?ref=community"
"209253964","2015-02-04T20:06:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv209253964?ref=community"
"209250475","2015-02-04T19:36:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv209250475?ref=community"
"209162710","2015-02-03T22:10:00+00:00","OldPhotographer1","定型否定系！PS4ぷよぷよテトリス","PS4版「ぷよぷよテトリス」を、SAYOがプレイ（ぷよぷよ）。vsテトリスを「対戦ゲー」に仕上げられるか！？","http://live.nicovideo.jp/watch/lv209162710?ref=community"
"209157092","2015-02-03T21:40:00+00:00","OldPhotographer1","定型否定系！PS4ぷよぷよテトリス","PS4版「ぷよぷよテトリス」を、SAYOがプレイ（ぷよぷよ）。vsテトリスを「対戦ゲー」に仕上げられるか！？","http://live.nicovideo.jp/watch/lv209157092?ref=community"
"209029823","2015-02-02T19:11:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv209029823?ref=community"
"209027404","2015-02-02T18:40:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv209027404?ref=community"
"208981618","2015-02-02T01:28:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208981618?ref=community"
"208977925","2015-02-02T00:57:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208977925?ref=community"
"208973798","2015-02-02T00:27:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208973798?ref=community"
"208968975","2015-02-01T23:57:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208968975?ref=community"
"208963769","2015-02-01T23:27:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208963769?ref=community"
"208958115","2015-02-01T22:56:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208958115?ref=community"
"208950794","2015-02-01T22:19:00+00:00","OldPhotographer1","定型否定系！PS4ぷよぷよテトリス","PS4版「ぷよぷよテトリス」を、SAYOがプレイ（ぷよぷよ）。vsテトリスを「対戦ゲー」に仕上げられるか！？","http://live.nicovideo.jp/watch/lv208950794?ref=community"
"208950172","2015-02-01T22:15:00+00:00","OldPhotographer1","定型否定系！PS4ぷよぷよテトリス","PS4版「ぷよぷよテトリス」を、SAYOがプレイ（ぷよぷよ）。vsテトリスを「対戦ゲー」に仕上げられるか！？","http://live.nicovideo.jp/watch/lv208950172?ref=community"
"208949339","2015-02-01T22:11:00+00:00","OldPhotographer1","定型否定系！PS4ぷよぷよテトリス","PS4版「ぷよぷよテトリス」を、SAYOがプレイ（ぷよぷよ）。vsテトリスを「対戦ゲー」に仕上げられるか！？","http://live.nicovideo.jp/watch/lv208949339?ref=community"
"208946893","2015-02-01T21:59:00+00:00","OldPhotographer1","定型否定系！PS4ぷよぷよテトリス","PS4版「ぷよぷよテトリス」を、SAYOがプレイ（ぷよぷよ）。vsテトリスを「対戦ゲー」に仕上げられるか！？","http://live.nicovideo.jp/watch/lv208946893?ref=community"
"208815428","2015-01-31T22:48:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208815428?ref=community"
"208656981","2015-01-30T20:14:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208656981?ref=community"
"208653631","2015-01-30T19:44:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208653631?ref=community"
"208650845","2015-01-30T19:13:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208650845?ref=community"
"208578995","2015-01-29T23:16:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208578995?ref=community"
"208573246","2015-01-29T22:46:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208573246?ref=community"
"208567439","2015-01-29T22:15:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208567439?ref=community"
"208495297","2015-01-29T01:24:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv208495297?ref=community"
"208491761","2015-01-29T00:54:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv208491761?ref=community"
"208487654","2015-01-29T00:24:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv208487654?ref=community"
"208483063","2015-01-28T23:53:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv208483063?ref=community"
"208477810","2015-01-28T23:23:00+00:00","OldPhotographer1","バズー!魔法世界を詠む","「バズー!魔法世界」を、JOEmasaが初見プレイ。奥深い世界観や魅力的な人物達を楽しむために、強烈なシステムと戦いながら遊びます。ストーリーを読み、想像し、思い浮かんだ解釈で物語を彩れるように。","http://live.nicovideo.jp/watch/lv208477810?ref=community"
"208380255","2015-01-28T00:16:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208380255?ref=community"
"208375422","2015-01-27T23:45:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208375422?ref=community"
"208369696","2015-01-27T23:15:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv208369696?ref=community"
"208183561","2015-01-26T02:00:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208183561?ref=community"
"208180561","2015-01-26T01:30:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208180561?ref=community"
"208177072","2015-01-26T00:59:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208177072?ref=community"
"208173077","2015-01-26T00:29:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208173077?ref=community"
"208168451","2015-01-25T23:59:00+00:00","OldPhotographer1","wizardryで物語る","「wizardry 戦闘の監獄」を、JOEmasaがノーリセットプレイ。道中で、TRPGのように人物設定を考えていき、冒険録の形で物語を遺します。簡単な情報から、厳しい戦いを経て、ドラマが生まれるまで。","http://live.nicovideo.jp/watch/lv208168451?ref=community"
"207853113","2015-01-23T18:41:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv207853113?ref=community"
"207750312","2015-01-22T19:18:00+00:00","OldPhotographer1","cammy in USF4","「ウルトラストリートファイターIV」を、JOEmasaがプレイ。使用キャラは、キャミィ。","http://live.nicovideo.jp/watch/lv207750312?ref=community"
